PUBCHEM_COMPOUND_CID,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_IUPAC_NAME,PUBCHEM_XLOGP3_AA,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,Description
241,15.5,0,0,0,benzene,,C6H6,78.11,C1=CC=CC=C1,0.0,0,6,
242,98.0,2,0,0,benzoate,,C7H5O2-,121.11,C1=CC=C(C=C1)C(=O)[O-],40.1,-1,9,
243,103.0,2,1,1,benzoic acid,,C7H6O2,122.12,C1=CC=C(C=C1)C(=O)O,37.3,0,9,"Benzoic acid is a compound comprising a benzene ring core carrying a carboxylic acid substituent. It has a role as an antimicrobial food preservative, an EC 3.1.1.3 (triacylglycerol lipase) inhibitor, an EC 1.13.11.33 (arachidonate 15-lipoxygenase) inhibitor, a plant metabolite, a human xenobiotic metabolite, an algal metabolite and a drug allergen. It is a conjugate acid of a benzoate."
244,55.4,1,1,1,phenylmethanol,,C7H8O,108.14,C1=CC=C(C=C1)CO,20.2,0,8,"Benzyl alcohol is an aromatic alcohol that consists of benzene bearing a single hydroxymethyl substituent. It has a role as a solvent, a metabolite, an antioxidant and a fragrance."
245,480.0,11,8,5,"N-[2,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide",-4.7,C14H25NO11,383.35,CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O,198.0,0,26,
246,668.0,5,1,2,"(10,13-dimethyl-17-oxo-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-3-yl) hydrogen sulfate",,C19H30O5S,370.5,CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OS(=O)(=O)O,89.1,0,25,
247,87.6,2,0,1,2-(trimethylazaniumyl)acetate,0.5,C5H11NO2,117.15,C[N+](C)(C)CC(=O)[O-],40.1,0,8,"Glycine betaine is the amino acid betaine derived from glycine. It has a role as a fundamental metabolite. It is an amino-acid betaine and a glycine derivative. It is a conjugate base of a N,N,N-trimethylglycinium."
248,93.1,2,1,2,carboxymethyl(trimethyl)azanium,-0.1,C5H12NO2+,118.15,C[N+](C)(C)CC(=O)O,37.3,1,8,"N,N,N-trimethylglycinium is a quaternary ammonium ion in which the substituents on nitrogen are methyl (three) and carboxymethyl. It has a role as a fundamental metabolite. It is a conjugate acid of a glycine betaine."
249,63.0,1,0,2,trimethyl(2-oxoethyl)azanium,-0.2,C5H12NO+,102.15,C[N+](C)(C)CC=O,17.1,1,7,"Betaine aldehyde is a quaternary ammonium ion that is nitrogen substituted by three methyl groups and a 2-oxoethyl group. It is an intermediate in the metabolism of amino acids like glycine, serine and threonine. It has a role as an Escherichia coli metabolite, a plant metabolite, an Aspergillus metabolite, a mouse metabolite and a human metabolite."
250,1340.0,6,6,12,3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoic acid,2.9,C33H36N4O6,584.7,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C,164.0,0,43,
251,1530.0,7,5,11,3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methylidene]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-yl)methylidene]-4-methylpyrrol-3-yl]propanoic acid,2.5,C33H34N4O6,582.6,CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O,161.0,0,43,
253,298.0,4,3,5,"5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid",0.3,C10H16N2O3S,244.31,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,104.0,0,16,"5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid is a member of biotins."
254,175.0,2,2,1,"3-phenylbenzene-1,2-diol",,C12H10O2,186.21,C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O,40.5,0,14,
255,434.0,8,1,4,bis(4-nitrophenyl) hydrogen phosphate,,C12H9N2O8P,340.18,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-],147.0,0,23,
256,1890.0,20,11,60,[5-hydroxy-2-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-6-(hydroxymethyl)-3-(3-hydroxytetradecanoylamino)oxan-4-yl] 3-hydroxytetradecanoate,16.0,C68H129N2O20P,1325.7,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OCC2C(C(C(C(O2)OP(=O)(O)O)NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)CO)O)OC(=O)CC(CCCCCCCCCCC)O)O,347.0,0,91,
257,890.0,12,7,30,[3-hydroxy-2-(hydroxymethyl)-5-(3-hydroxytetradecanoylamino)-6-phosphonooxyoxan-4-yl] 3-hydroxytetradecanoate,7.2,C34H66NO12P,711.9,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)OC(=O)CC(CCCCCCCCCCC)O)O,212.0,0,48,
258,795.0,7,6,9,"3-[[3-amino-5-[carbamimidoyl(methyl)amino]pentanoyl]amino]-6-(4-amino-2-oxopyrimidin-1-yl)-3,6-dihydro-2H-pyran-2-carboxylic acid",-5.2,C17H26N8O5,422.4,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N,213.0,0,30,
259,0.0,1,0,0,bromide,1.0,Br-,79.9,[Br-],0.0,-1,1,Bromide is a halide anion and a monoatomic bromine. It is a conjugate base of a hydrogen bromide.
260,0.0,0,1,0,bromane,1.0,BrH,80.91,Br,0.0,0,1,Bromine atom is a halogen. It has a role as a micronutrient.
261,24.8,1,0,2,butanal,,C4H8O,72.11,CCCC=O,17.1,0,5,"Butanal is a member of the class of butanals that consists of propane bearing a formyl substituent at the 1-position. The parent of the class of butanals. It has a role as a biomarker, an Escherichia coli metabolite and a mouse metabolite."
262,30.5,2,2,1,"butane-2,3-diol",,C4H10O2,90.12,CC(C(C)O)O,40.5,0,6,"Butane-2,3-diol is a butanediol in which hydroxylation is at C-2 and C-3. It is a butanediol, a glycol and a secondary alcohol."
263,13.1,1,1,2,butan-1-ol,,C4H10O,74.12,CCCCO,20.2,0,5,"Butan-1-ol is a primary alcohol that is butane in which a hydrogen of one of the methyl groups is substituted by a hydroxy group. It it produced in small amounts in humans by the gut microbes. It has a role as a protic solvent, a human metabolite and a mouse metabolite. It is a primary alcohol, a short-chain primary fatty alcohol and an alkyl alcohol."
264,49.5,2,1,2,butanoic acid,,C4H8O2,88.11,CCCC(=O)O,37.3,0,6,Butyric acid is a straight-chain saturated fatty acid that is butane in which one of the terminal methyl groups has been oxidised to a carboxy group. It has a role as a Mycoplasma genitalium metabolite and a human urinary metabolite. It is a straight-chain saturated fatty acid and a fatty acid 4:0. It is a conjugate acid of a butyrate.
265,1410.0,22,9,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] butanethioate",,C25H42N7O17P3S,837.6,CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,389.0,0,53,
266,159.0,5,2,4,phosphono butanoate,-0.7,C4H9O5P,168.08,CCCC(=O)OP(=O)(O)O,83.8,0,10,Butanoyl dihydrogen phosphate is an acyl monophosphate where the acyl groups is butanoyl. It is a conjugate acid of a butanoyl phosphate(2-).
267,2440.0,29,17,31,"6-[[4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",-10.8,C41H65N9O28P2,1193.9,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,573.0,0,80,
268,2300.0,27,16,30,"4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-5-[[6-amino-1-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid",-10.4,C40H65N9O26P2,1149.9,CC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,536.0,0,77,
269,3740.0,24,14,60,"6-[[4-[2-[2-[3-acetamido-5-hydroxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",11.7,C87H143N7O23P2,1717.0,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C,474.0,0,119,
270,4220.0,29,17,64,"6-[[4-[2-[2-[3-acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",9.5,C95H156N8O28P2,1920.2,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C,562.0,0,133,
271,0.0,0,0,0,calcium(2+),,Ca+2,40.08,[Ca+2],0.0,2,1,"Calcium(2+) is a calcium cation, a divalent metal cation and a monoatomic dication. It has a role as a human metabolite and a cofactor."
273,25.3,2,2,4,"pentane-1,5-diamine",-0.6,C5H14N2,102.18,C(CCN)CCN,52.0,0,7,"Cadaverine is an alkane-alpha,omega-diamine comprising a straight-chain pentane core with amino substitutents at positions 1 and 5. A colourless syrupy liquid diamine with a distinctive unpleasant odour, it is a homologue of putresceine and is formed by the bacterial decarboxylation of lysine that occurs during protein hydrolysis during putrefaction of animal tissue. It is also found in plants such as soyabean. It has a role as a plant metabolite, a Daphnia magna metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a conjugate base of a cadaverine(2+)."
274,498.0,10,3,1,"6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",-2.6,C10H12N5O6P,329.21,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,155.0,0,22,
275,178.0,5,4,5,2-amino-4-(diaminomethylideneamino)oxybutanoic acid,,C5H12N4O3,176.17,C(CON=C(N)N)C(C(=O)O)N,137.0,0,12,
276,27.5,2,1,0,carbamate,-0.1,CH2NO2-,60.032,C(=O)(N)[O-],66.2,-1,4,Carbamate is an amino-acid anion. It is a conjugate base of a carbamic acid.
277,33.0,2,2,0,carbamic acid,-0.8,CH3NO2,61.04,C(=O)(N)O,63.3,0,4,"Carbamic acid is a one-carbon compound that is ammonia in which one of the hydrogens is replaced by a carboxy group. Although carbamic acid derivatives are common, carbamic acid itself has never been synthesised. It has a role as an Escherichia coli metabolite. It is a one-carbon compound, a carbon oxoacid and an organonitrogen compound. It is a conjugate acid of a carbamate."
278,135.0,5,3,2,phosphono carbamate,-2.1,CH4NO5P,141.02,C(=O)(N)OP(=O)(O)O,110.0,0,8,
279,214.0,5,4,4,2-(carbamoylamino)butanedioic acid,-1.9,C5H8N2O5,176.13,C(C(C(=O)O)NC(=O)N)C(=O)O,130.0,0,12,
280,18.3,2,0,0,carbon dioxide,0.9,CO2,44.009,C(=O)=O,34.1,0,3,
281,10.0,1,0,0,carbon monoxide,0.7,CO,28.01,[C-]#[O+],1.0,0,2,
282,254.0,4,3,3,"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoic acid",-0.7,C9H12O4,184.19,C1=CC(C(C(=C1)CCC(=O)O)O)O,77.8,0,13,
283,7.5,2,0,0,formate,0.5,CHO2-,45.017,C(=O)[O-],40.1,-1,3,Formate is a monocarboxylic acid anion that is the conjugate base of formic acid. Induces severe metabolic acidosis and ocular injury in human subjects. It has a role as a human metabolite and a Saccharomyces cerevisiae metabolite. It is a conjugate base of a formic acid.
284,10.3,2,1,0,formic acid,-0.2,CH2O2,46.025,C(=O)O,37.3,0,3,"Formic acid is the simplest carboxylic acid, containing a single carbon. Occurs naturally in various sources including the venom of bee and ant stings, and is a useful organic synthetic reagent. Principally used as a preservative and antibacterial agent in livestock feed. Induces severe metabolic acidosis and ocular injury in human subjects. It has a role as an antibacterial agent, a protic solvent, a metabolite, a solvent and an astringent. It is a conjugate acid of a formate."
285,47.2,4,1,1,2-aminooxyacetate,-2.7,C2H4NO3-,90.06,C(C(=O)[O-])ON,75.4,-1,6,"(aminooxy)acetate is a monocarboxylic acid anion that is the conjugate base of (aminooxy)acetic acid, resulting from the deprotonation of the carboxy group. Major microspecies at pH 7.3. It is a conjugate base of an (aminooxy)acetic acid."
286,52.8,4,2,2,2-aminooxyacetic acid,-3.4,C2H5NO3,91.07,C(C(=O)O)ON,72.6,0,6,"(aminooxy)acetic acid is a member of the class of hydroxylamines that is acetic acid substituted at postion 2 by an aminooxy group. It is a compound which inhibits aminobutyrate aminotransferase activity in vivo, resulting in increased levels of gamma-aminobutyric acid in tissues. It has a role as a nootropic agent, an EC 4.2.1.22 (cystathionine beta-synthase) inhibitor, an EC 2.6.1.19 (4-aminobutyrate--2-oxoglutarate transaminase) inhibitor and an anticonvulsant. It is an amino acid, a member of hydroxylamines and a monocarboxylic acid. It is a conjugate acid of an (aminooxy)acetate."
287,465.0,10,6,9,"2-[(3,4-dihydroxy-2-oxo-5-phosphonooxypentyl)amino]benzoic acid",-1.3,C12H16NO9P,349.23,C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O,174.0,0,23,
288,134.0,3,1,3,3-hydroxy-4-(trimethylazaniumyl)butanoate,-0.2,C7H15NO3,161.2,C[N+](C)(C)CC(CC(=O)[O-])O,60.4,0,11,Carnitine is an amino-acid betaine that is butanoate substituted with a hydroxy group at position C-3 and a trimethylammonium group at C-4. It has a role as a human metabolite and a mouse metabolite. It is functionally related to a butyrate. It is a conjugate base of a carnitinium.
289,62.9,2,2,0,"benzene-1,2-diol",,C6H6O2,110.11,C1=CC=C(C(=C1)O)O,40.5,0,8,"Catechol is a benzenediol comprising of a benzene core carrying two hydroxy substituents ortho to each other. It has a role as a genotoxin, an allelochemical and a plant metabolite. It is a conjugate acid of a catecholate(1-)."
290,690.0,11,6,6,"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",,C9H15N3O11P2,403.18,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O,222.0,0,25,
291,830.0,11,5,10,"2-[[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxyethyl-trimethylazanium",,C14H27N4O11P2+,489.33,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,211.0,1,31,
292,980.0,16,9,9,"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate",,C15H25N3O16P2,565.32,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,301.0,0,36,
293,746.0,12,6,9,"[2-aminoethoxy(hydroxy)phosphoryl] [5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate",,C11H20N4O11P2,446.24,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCCN)O)O,237.0,0,28,
294,382.0,11,8,4,"2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",-4.7,C12H22O11,342.3,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,190.0,0,23,
296,86.9,3,1,2,2-methyl-3-oxopropanoic acid,0.0,C4H6O3,102.09,CC(C=O)C(=O)O,54.4,0,7,2-methyl-3-oxopropanoic acid is the 2-methyl-3-oxo derivative of propanoic acid. It is a 3-oxo monocarboxylic acid and an aldehyde. It is functionally related to a propionic acid. It is a conjugate acid of a 2-methyl-3-oxopropanoate.
297,0.0,0,0,0,methane,0.6,CH4,16.043,C,0.0,0,1,
298,342.0,5,3,5,"2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",,C11H12Cl2N2O5,323.13,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],115.0,0,20,"2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide is a C-nitro compound."
299,631.0,1,0,0,"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one",3.9,C10Cl10O,490.6,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,17.1,0,21,Chlordecone is an organochlorine compound with insecticidal activity. It has a role as a persistent organic pollutant and an insecticide. It is an organochlorine compound and a cyclic ketone.
300,42.9,2,1,1,2-chloroacetic acid,,C2H3ClO2,94.5,C(C(=O)O)Cl,37.3,0,5,Chloroacetic acid is a chlorocarboxylic acid that is acetic acid carrying a 2-chloro substituent. It has a role as an alkylating agent and a herbicide. It is a chlorocarboxylic acid and a haloacetic acid. It is functionally related to an acetic acid. It is a conjugate acid of a chloroacetate.
301,97.1,2,2,0,"2-chlorobenzene-1,4-diol",,C6H5ClO2,144.55,C1=CC(=C(C=C1O)Cl)O,40.5,0,9,Chlorohydroquinone is a benzenediol that consists of hydroquinone bearing a single chloro substituent. It has a role as a metabolite. It is a member of monochlorobenzenes and a member of chlorohydroquinones.
302,676.0,5,3,4,"4-(3,12-dihydroxy-10,13-dimethyl-7-oxo-1,2,3,4,5,6,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanoic acid",3.3,C24H38O5,406.6,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C,94.8,0,29,
303,637.0,5,4,4,"4-(3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",3.6,C24H40O5,408.6,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,98.0,0,29,
304,591.0,1,1,5,"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",,C27H46O,386.7,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,20.2,0,28,
305,46.5,1,1,2,2-hydroxyethyl(trimethyl)azanium,-0.4,C5H14NO+,104.17,C[N+](C)(C)CCO,20.2,1,7,"Choline is a choline that is the parent compound of the cholines class, consisting of ethanolamine having three methyl substituents attached to the amino function. It has a role as a neurotransmitter, a nutrient, a human metabolite, a plant metabolite, a Daphnia magna metabolite, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite, a mouse metabolite and an allergen."
306,392.0,6,3,4,"3-(1-carboxyethenoxy)-4-hydroxycyclohexa-1,5-diene-1-carboxylic acid",0.2,C10H10O6,226.18,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O,104.0,0,16,
307,121.0,1,0,2,3-phenylprop-2-enal,,C9H8O,132.16,C1=CC=C(C=C1)C=CC=O,17.1,0,10,
308,101.0,1,1,2,3-phenylprop-2-en-1-ol,,C9H10O,134.17,C1=CC=C(C=C1)C=CCO,20.2,0,10,
309,251.0,6,3,4,"prop-1-ene-1,2,3-tricarboxylic acid",-1.0,C6H6O6,174.11,C(C(=CC(=O)O)C(=O)O)C(=O)O,112.0,0,12,"Aconitic acid is a tricarboxylic acid that is prop-1-ene substituted by carboxy groups at positions 1, 2 and 3. It is a conjugate acid of an aconitate(3-)."
310,168.0,4,2,3,"hexa-2,4-dienedioic acid",0.2,C6H6O4,142.11,C(=CC(=O)O)C=CC(=O)O,74.6,0,10,
311,227.0,7,4,5,"2-hydroxypropane-1,2,3-tricarboxylic acid",,C6H8O7,192.12,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,132.0,0,13,"Citric acid is a tricarboxylic acid that is propane-1,2,3-tricarboxylic acid bearing a hydroxy substituent at position 2. It is an important metabolite in the pathway of all aerobic organisms. It has a role as a food acidity regulator, a chelator, an antimicrobial agent, a fundamental metabolite and a calcium chelator. It is a conjugate acid of a citrate(1-) and a citrate anion."
312,0.0,1,0,0,chloride,0.8,Cl-,35.45,[Cl-],0.0,-1,1,"Chloride is a halide anion formed when chlorine picks up an electron to form an an anion. It has a role as a human metabolite, an Escherichia coli metabolite and a cofactor. It is a halide anion and a monoatomic chlorine. It is a conjugate base of a hydrogen chloride."
313,0.0,0,1,0,chlorane,0.8,ClH,36.46,Cl,0.0,0,1,Chlorine atom is a halogen. It has a role as a micronutrient.
314,531.0,8,5,4,"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",,C9H14N3O8P,323.2,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,175.0,0,21,Cytosine arabinoside monophosphate is a pyrimidine ribonucleoside monophosphate.
315,944.0,15,9,13,"8-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4,5,6,7-tetrahydroxy-2-oxooctanoic acid",,C17H26N3O15P,543.4,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OCC(C(C(C(CC(=O)C(=O)O)O)O)O)O)O)O,299.0,0,36,
316,1120.0,16,10,11,"5-acetamido-2-[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",-6.7,C20H31N4O16P,614.5,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O,321.0,0,41,N-Acetyl-b-neuraminic acid is a pyrimidine nucleotide-sugar.
317,1270.0,21,10,18,"[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-(2-sulfanylethylamino)propyl]amino]butyl] hydrogen phosphate",,C21H36N7O16P3S,767.5,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,348.0,0,48,
318,2240.0,12,8,20,"cobalt;3-[2,13,18-tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide",,C48H75CoN11O8,993.1,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N.[Co],357.0,0,68,
319,2230.0,12,8,20,"3-[2,13,18-tris(2-amino-2-oxoethyl)-12,17-bis(3-amino-3-oxopropyl)-3-[3-(2-hydroxypropylamino)-3-oxopropyl]-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanamide",-4.0,C48H75N11O8,934.2,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)NCC(C)O)CC(=O)N)(C(C4CCC(=O)N)(C)CC(=O)N)C)C)C(C3CCC(=O)N)(C)CC(=O)N)(C)C)CCC(=O)N,357.0,0,67,
